favorites,retweets,tweet_id
38590,8531,892420643555336193
33088,6271,892177421306343426
24912,4156,891815181378084864
42008,8662,891689557279858688
40152,9411,891327558926688256
20127,3116,891087950875897856
11801,2074,890971913173991426
65215,18912,890729181411237888
27668,4271,890609185150312448
31794,7427,890240255349198849
30542,7342,890006608113172480
27652,4976,889880896479866881
47915,10069,889665388333682689
27044,4551,889638837579907072
15032,2237,889531135344209921
25171,5421,889278841981685760
28953,4503,888917238123831296
25465,4345,888804989199671297
19808,3584,888554962724278272
21665,3491,888078434458587136
30051,5391,887705289381826560
46038,11663,887517139158093824
68806,18210,887473957103951883
33528,10395,887343217045368832
30402,5958,887101392804085760
34989,7769,886983233522544640
12017,3290,886736880519319552
22317,4457,886680336477933568
21098,3197,886366144734445568
116,4,886267009285017600
27853,6278,886258384151887873
0,104,886054160059072513
32560,6810,885984800019947520
35831,6427,885528943205470208
20341,3759,885518971528720385
0,18584,885311592912609280
21853,4379,885167619883638784
77195,18432,884925521741709313
27810,5788,884876753390489601
24192,4865,884562892145688576
26868,5648,884441805382717440
72695,20440,884247878851493888
20294,2983,884162670584377345
21804,3439,883838122936631299
45736,9959,883482846933004288
22470,3675,883360690899218434
37061,6669,883117836046086144
23847,3916,882992080364220416
28193,4919,882762694511734784
27773,6092,882627270321602560
44784,11594,882268110199369728
29235,4979,882045870035918850
24202,3398,881906580714921986
50355,10675,881666595344535552
128,7,881633300179243008
49248,15984,881536004380872706
22978,5166,881268444196462592
16935,2782,880935762899988482
21201,3822,880872448815771648
28403,6283,880465832366813184
26967,4238,880221127280381952
27511,4365,880095782870896641
22227,3504,879862464715927552
311,10,879674319642796034
23315,3189,879492040517615616
105474,44262,879415818425184262
16704,3123,879376492567855104
0,6846,879130579576475649
22498,4727,879050749262655488
18899,2699,879008229531029506
19344,4146,878776093423087618
30155,7240,878604707211726852
0,1298,878404777348136964
0,6665,878316110768087041
7733,1298,878281511006478336
41882,6846,878057613040115712
79618,19186,877736472329191424
0,81,877611172832227328
22674,3831,877556246731214848
27281,5189,877316821321428993
27037,5615,877201837425926144
20600,3366,876838120628539392
23377,4630,876537666061221889
18703,2407,876484053909872640
27834,4707,876120275196170240
25119,4311,875747767867523072
21852,4948,875144289856114688
27345,6065,875097192612077568
25423,4740,875021211251597312
27775,4675,874680097055178752
0,14854,874434818259525634
26019,4134,874296783580663808
22612,3974,874057562936811520
34604,10537,874012996292530176
24211,3972,873580283840344065
0,1598,873337748698140672
7239,1598,873213775632977920
27364,5452,872967104147763200
14714,3718,872820683541237760
0,28,872668790621863937
20778,3739,872620804844003328
40693,9088,872486979161796608
34240,6396,872261713294495745
34478,8206,872122724285648897
38088,11334,871879754684805121
20289,3514,871762521631449091
20243,3494,871515927908634625
0,5766,871166179821445120
20975,5570,871102520638267392
22708,3855,871032628920680449
33734,6303,870804317367881728
120,3,870726314365509632
12468,2680,870656317836468226
83000,26631,870374049280663552
21913,4217,870308999962521604
36860,8500,870063196459192321
42632,10214,869772420881756160
28389,6437,869702957897576449
16073,3189,869596645499047938
20574,3858,869227993411051520
66130,14817,868880397819494401
0,2142,868639477480148993
27445,5897,868622495443632128
10243,2142,868552278524837888
24388,4267,867900495410671616
34323,7501,867774946302451713
16307,2577,867421006826221569
0,129,867072653475098625
32605,8060,867051520902168576
20310,4948,866720684873056260
19556,3577,866686824827068416
123779,36166,866450705531457537
53262,14854,866334964761202691
0,8607,866094527597207552
25922,5766,865718153858494464
26822,5141,865359393868664832
28394,7900,865006731092295680
32775,8983,864873206498414592
14838,3131,864279568663928832
30625,9222,864197398364647424
20946,4271,863907417377173506
15536,4301,863553081350529029
0,2554,863471782782697472
24204,5428,863432100342583297
2297,99,863427515083354112
8912,1132,863079547188785154
8680,2554,863062471531167744
19530,5256,862831371563274240
17385,3653,862722525377298433
20915,5131,862457590147678208
76016,24124,862096992088072192
36742,11074,861383897657036800
17519,4315,861288531465048066
17062,3944,861005113778896900
0,2243,860981674716409858
0,846,860924035999428608
7663,2243,860563773140209665
24102,5465,860524505164394496
18676,3608,860276583193509888
17037,6058,860184849394610176
0,32122,860177593139703809
19952,4255,859924526012018688
15739,3635,859851578198683649
19011,1638,859607811541651456
92067,31476,859196978902773760
34679,14157,859074603037188101
0,8475,858860390427611136
15907,3618,858843525470990336
22041,5052,858471635011153920
16125,3035,858107933456039936
16520,2696,857989990357356544
35137,11089,857746408056729600
6083,1711,857393404942143489
20540,4730,857263160327368704
236,20,857214891891077121
0,178,857062103051644929
19435,4186,857029823797047296
0,11206,856602993587888130
16723,3019,856543823941562368
12156,1970,856526610513747968
0,712,856330835276025856
530,17,856288084350160898
28471,6628,856282028240666624
359,28,855862651834028034
5162,1091,855860136149123072
12178,2229,855857698524602368
46770,18598,855851453814013952
27382,5728,855818117272018944
30880,8670,855459453768019968
0,6296,855245323840757760
0,48,855138241867124737
23595,6451,854732716440526848
30321,7271,854482394044301312
19548,4961,854365224396361728
33083,7941,854120357044912130
16765,3336,854010172552949760
29658,6143,853760880890318849
36202,10760,853639147608842240
16121,3784,853299958564483072
0,2153,852936405516943360
9402,1955,852912242202992640
15509,2288,852672615818899456
17034,3742,852553447878664193
34482,10543,852311364735569921
20837,7268,852226086759018497
11929,1683,852189679701164033
0,10288,851953902622658560
0,23,851861385021730816
16881,3701,851591660324737024
25318,7554,851464819735769094
21569,6120,851224888060895234
32426,9944,850753642995093505
13633,2796,850380195714523136
3578,356,850333567704068097
17064,4099,850145622816686080
21401,5250,850019790995546112
31890,8158,849776966551130114
0,5319,849668094696017920
16616,3367,849412302885593088
11971,2031,849336543269576704
44506,9152,849051919805034497
26435,4637,848690551926992896
25960,4946,848324959059550208
8575,807,848213670039564288
17142,3318,848212111729840128
0,3502,847978865427394560
0,463,847971574464610304
24668,5509,847962785489326080
5762,1449,847842811428974592
7361,452,847617282490613760
19701,3644,847606175596138505
21462,4622,847251039262605312
21011,6315,847157206088847362
22526,3436,847116187444137987
21132,4231,846874817362120707
47056,12537,846514051647705089
14901,3345,846505985330044928
33425,9793,846153765933735936
32494,10639,846139713627017216
16835,3115,846042936437604353
30864,9457,845812042753855489
26467,5173,845677943972139009
8038,1965,845397057150107648
24590,5836,845306882940190720
0,8298,845098359547420673
14386,2805,844979544864018432
15961,3479,844973813909606400
40876,11206,844704788403113984
17389,3405,844580511645339650
14381,2376,844223788422217728
15950,3165,843981021012017153
22610,5006,843856843873095681
17846,2975,843604394117681152
22713,6570,843235543001513987
16083,3890,842846295480000512
7141,1383,842765311967449089
19136,3799,842535590457499648
25899,6296,842163532590374912
14831,3281,842115215311396866
0,16728,841833993020538882
27129,8420,841680585030541313
13385,3988,841439858740625411
20910,5903,841320156043304961
16813,5116,841314665196081154
24288,5766,841077006473256960
0,1910,840761248237133825
0,17655,840728873075638272
192,2,840698636975636481
13034,1074,840696689258311684
9518,1910,840632337062862849
17454,4964,840370681858686976
20447,6241,840268004936019968
14243,2505,839990271299457024
29204,8475,839549326359670784
0,154,839290600511926273
28887,7150,839239871831150596
20831,4346,838952994649550848
11862,2264,838921590096166913
0,37,838916489579200512
0,12102,838831947270979586
11589,1446,838561493054533637
24032,5266,838476387338051585
0,11053,838201503651401729
1785,357,838150277551247360
149,0,838085839343206401
18749,3441,838083903487373313
36360,8607,837820167694528512
4076,482,837482249356513284
13611,2524,837471256429613056
22480,5790,837366284874571778
17031,2620,837110210464448512
13550,2509,836989968035819520
20477,5048,836753516572119041
13426,2434,836677758902222849
0,606,836648853927522308
0,30216,836397794269200385
15683,3225,836380477523124226
22642,4690,836260088725786625
20352,4701,836001077879255040
0,8961,835685285446955009
18962,3974,835574547218894849
0,1866,835536468978302976
0,23061,835309094223372289
17462,3278,835297930240217089
8279,1866,835264098648616962
2226,80,835246439529840640
27836,6294,835172783151792128
23936,3316,835152434251116546
11557,1808,834931633769889797
22508,5989,834786237630337024
14608,2782,834574053763584002
0,11713,834477809192075265
10257,1835,834458053273591808
21988,5264,834209720923721728
16798,3985,834167344700198914
10726,2339,834089966724603904
13929,2428,834086379323871233
14312,2646,833863086058651648
16360,3775,833826103416520705
0,239,833732339549220864
22052,3518,833722901757046785
15880,2271,833479644947025920
21562,5319,833124694597443584
14218,2435,832998151111966721
0,40,832769181346996225
17963,3977,832757312314028032
12698,3226,832682457690300417
3117,572,832645525019123713
16948,3074,832636094638288896
12770,2454,832397543355072512
18317,3502,832369877331693569
12081,2566,832273440279240704
0,6814,832215909146226688
0,10316,832215726631055365
71,2,832088576586297345
0,10702,832040443403784192
19092,5130,832032802820481025
25667,6762,831939777352105988
364,36,831926988323639298
29569,7183,831911600680497154
11166,1997,831670449226514432
7677,2153,831650051525054464
9636,2531,831552930092285952
9805,1677,831322785565769729
6966,1228,831315979191906304
12529,2682,831309418084069378
12743,2262,831262627380748289
8531,1654,830956169170665475
71606,18584,830583320585068544
0,6298,830173239259324417
10516,3326,830097400375152640
0,5540,829878982036299777
13111,2165,829861396166877184
33963,11713,829501995190984704
11204,2242,829449946868879360
37103,10288,829374341691346946
26272,8190,829141528400556032
56780,17922,829011960981237760
0,3752,828801551087042563
